"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",14374.20276
"WorkFlow",1,"tvKa",1.19395
"WorkFlow",1,"tvV",83.383
"WorkFlow",1,"tvCl",7.84339
"WorkFlow",1,"dCldWT",0.126261
"WorkFlow",2,"-2LL",14369.76034
"WorkFlow",2,"tvKa",1.20957
"WorkFlow",2,"tvV",88.4175
"WorkFlow",2,"tvCl",8.14572
"WorkFlow",2,"dCldWT",0.617478
"WorkFlow",3,"-2LL",14350.272
"WorkFlow",3,"tvKa",1.2335
"WorkFlow",3,"tvV",85.978
"WorkFlow",3,"tvCl",8.28874
"WorkFlow",3,"dCldWT",1.36427
"WorkFlow",4,"-2LL",14335.08604
"WorkFlow",4,"tvKa",1.12097
"WorkFlow",4,"tvV",83.4812
"WorkFlow",4,"tvCl",7.86278
"WorkFlow",4,"dCldWT",2.47953
"WorkFlow",5,"-2LL",14330.21528
"WorkFlow",5,"tvKa",1.17202
"WorkFlow",5,"tvV",83.3696
"WorkFlow",5,"tvCl",7.44418
"WorkFlow",5,"dCldWT",2.80039
"WorkFlow",6,"-2LL",14328.94726
"WorkFlow",6,"tvKa",1.20114
"WorkFlow",6,"tvV",79.4911
"WorkFlow",6,"tvCl",7.74488
"WorkFlow",6,"dCldWT",2.8698
"WorkFlow",7,"-2LL",14328.1217
"WorkFlow",7,"tvKa",1.1957
"WorkFlow",7,"tvV",80.8358
"WorkFlow",7,"tvCl",7.63474
"WorkFlow",7,"dCldWT",2.84724
"WorkFlow",8,"-2LL",14328.07278
"WorkFlow",8,"tvKa",1.19629
"WorkFlow",8,"tvV",80.7304
"WorkFlow",8,"tvCl",7.58766
"WorkFlow",8,"dCldWT",2.90568
"WorkFlow",9,"-2LL",14328.06678
"WorkFlow",9,"tvKa",1.19543
"WorkFlow",9,"tvV",80.6511
"WorkFlow",9,"tvCl",7.57514
"WorkFlow",9,"dCldWT",2.89776
"WorkFlow",10,"-2LL",14328.06538
"WorkFlow",10,"tvKa",1.19566
"WorkFlow",10,"tvV",80.6477
"WorkFlow",10,"tvCl",7.58846
"WorkFlow",10,"dCldWT",2.89851
"WorkFlow",11,"-2LL",14328.05466
"WorkFlow",11,"tvKa",1.19794
"WorkFlow",11,"tvV",80.6935
"WorkFlow",11,"tvCl",7.60273
"WorkFlow",11,"dCldWT",2.87453
