#Scenario,tvKa,tvV,tvCl,dCldWT,CEps
WorkFlow,0.001517,,,,
WorkFlow,0.015232,7.851163,,,
WorkFlow,0.001055,0.466580,0.120232,,
WorkFlow,-0.000750,0.048699,-0.005106,0.127479,
WorkFlow,-0.000926,-0.488217,-0.088021,0.000931,0.591728
